formula,material_id,particle,energy_MeV,niel_MeV_cm2_g,source_file
Ag3PO4,JVASP-9585,electron,0.8,1.7518e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.85,1.8753e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.9,1.9962e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,0.95,2.1144e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,1.0,2.2295e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,1.5,3.2184e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,2.0,3.9749e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,2.5,4.5781e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,3.0,5.0767e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,3.5,5.5e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,4.0,5.8666e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,4.5,6.1891e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,5.0,6.4765e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,5.5,6.7351e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,6.0,6.9698e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,6.5,7.1843e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,7.0,7.3815e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,7.5,7.5637e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,8.0,7.7329e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,8.5,7.8905e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,9.0,8.0379e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,9.5,8.1761e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,10.0,8.3061e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,15.0,9.2838e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,20.0,9.904e-05,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,25.0,0.00010325,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,30.0,0.00010621,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,35.0,0.00010831,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,40.0,0.0001098,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,45.0,0.00011086,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,50.0,0.0001116,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,55.0,0.0001121,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,60.0,0.00011243,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,65.0,0.00011264,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,70.0,0.00011275,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,75.0,0.00011279,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,80.0,0.00011278,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,85.0,0.00011273,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,90.0,0.00011266,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,95.0,0.00011257,Ag3PO4_JVASP-9585_e_srniel.csv
Ag3PO4,JVASP-9585,electron,100.0,0.00011247,Ag3PO4_JVASP-9585_e_srniel.csv
